Research,Responses
38.8,38.3
22.1,33.0
22.3,27.7
20.2,38.9
38.2,57.9
39.5,33.4
25.3,35.7
35.6,40.4
33.1,48.4
42.9,32.1
38.4,36.7
36.3,38.2
26.0,27.0
42.8,26.4
35.3,21.5
31.0,27.8
29.8,38.1
32.3,38.4
35.3,57.7
37.9,36.8
19.2,52.3
22.5,48.8
20.4,39.7
16.9,22.6
20.7
14.1
49.0
28.0
35.9
47.8
45.7
32.2
35.4
42.2
33.6
14.8
24.6
24.5
32.4
24.4
11.9
27.1
16.8
26.2
26.3
28.9
29.0
12.5
0.8
30.6
34.5
41.8
41.7
41.5
52.0
27.7
28.2
23.9
41.8
5.5
43.2
30.0
38.7
35.1
21.0
40.9
39.5
45.0
29.0
33.1
35.8
34.8
26.2
36.2
34.1
14.6
34.6
28.4
27.6
39.1
34.5
51.5
38.7
36.2
29.9
44.0
27.8
16.9
41.2
29.4
35.1
23.5
31.6
23.0
20.0
29.9
30.5
23.9
32.8
49.9
40.7
38.4
23.6
30.0
30.0
25.7
28.6
53.3
40.4
35.2
33.5
38.6
37.0
34.2
41.2
5.1
27.8
20.6
35.2
39.3
30.2
23.2
42.2
26.4
42.0
32.0
20.6
23.2
36.1
17.7
27.9
3.2
14.0
16.5
28.0
10.1
10.0
30.9
22.2
16.8
